"p_val","avg_logFC","pct.1","pct.2","p_val_adj","type","gene"
"NBEAL1",7.05891239399466e-21,-0.464442400435035,0.595,0.838,2.36621802359095e-16,"NK","NBEAL1"
"GSTP1",9.75242889149482e-21,0.553129056636208,0.547,0.351,3.26911168871798e-16,"NK","GSTP1"
"MYC",1.55036661029674e-20,-0.719129405825006,0.039,0.296,5.1969839143757e-16,"NK","MYC"
"EEF1B2",1.87077713643159e-20,-0.430664115340508,0.702,0.893,6.27103203903234e-16,"NK","EEF1B2"
"NMUR1",6.50322741443327e-20,0.43855662432425,0.129,0.023,2.17994686159218e-15,"NK","NMUR1"
"RPL27",2.98177558918942e-19,-0.267509305324617,0.955,0.995,9.99520995252185e-15,"NK","RPL27"
"FAM49B",3.6778329184262e-19,0.536023720895515,0.612,0.46,1.23284637258565e-14,"NK","FAM49B"
"HLA-E",6.20974505543473e-19,0.318004340533271,0.951,0.944,2.08156864003228e-14,"NK","HLA-E"
"RP11-81H14.2",1.46661697719246e-18,0.546867793869325,0.149,0.033,4.91624676924685e-14,"NK","RP11-81H14.2"
"LITAF1",3.10913042868101e-18,0.540853791194341,0.618,0.471,1.04221161099816e-13,"NK","LITAF"
"ABI3",5.71009194072123e-18,0.619840669726107,0.362,0.182,1.91407991944916e-13,"NK","ABI3"
"ABHD17A",7.30673045521451e-18,0.644366051279571,0.359,0.184,2.44928911589246e-13,"NK","ABHD17A"
"IFITM3",8.67280906307176e-18,0.605544346922229,0.252,0.096,2.90721232603228e-13,"NK","IFITM3"
"ADGRG1",9.17566425572148e-18,0.55581882298628,0.278,0.11,3.0757744151604e-13,"NK","ADGRG1"
"H3F3B",1.28000404442588e-17,0.348599753232168,0.926,0.906,4.29070155732e-13,"NK","H3F3B"
"H3F3A",2.37524323986065e-17,0.349862939611876,0.906,0.887,7.96205286433688e-13,"NK","H3F3A"
"MT-ND1",2.7992576429486e-17,-0.299116336216626,0.906,0.977,9.38339154492801e-13,"NK","MT-ND1"
"SYTL3",2.94600415332072e-17,0.61944166231706,0.307,0.14,9.87530052234637e-13,"NK","SYTL3"
"CCND3",4.97679236336305e-17,0.55714489313002,0.579,0.437,1.66827056812293e-12,"NK","CCND3"
"PABPC1",5.83254190304825e-17,-0.414917571700784,0.667,0.871,1.9551263713208e-12,"NK","PABPC1"
"STARD3NL",6.42958245567849e-17,0.643496978038017,0.259,0.103,2.15526033496799e-12,"NK","STARD3NL"
"DBI",6.44543249291149e-17,0.555183206395596,0.537,0.392,2.16057342594886e-12,"NK","DBI"
"TRAT1",6.54557280740075e-17,-0.599816942406461,0.036,0.258,2.19414146076881e-12,"NK","TRAT1"
"CLIC1",9.59958843830069e-17,0.465863419547266,0.702,0.578,3.21787804040277e-12,"NK","CLIC1"
"GZMM",9.78936531190879e-17,0.493661083965944,0.641,0.521,3.28149314620495e-12,"NK","GZMM"
"TPST2",9.9452488210507e-17,0.599805100347108,0.366,0.192,3.33374685730441e-12,"NK","TPST2"
"GNPTAB",1.18578575778775e-16,0.597703648138678,0.291,0.128,3.97487243868032e-12,"NK","GNPTAB"
"PYHIN1",1.40648592761934e-16,0.589108095085114,0.44,0.264,4.7146814779728e-12,"NK","PYHIN1"
"GPATCH8",1.98181251191737e-16,0.62939314306591,0.34,0.171,6.64323372119823e-12,"NK","GPATCH8"
"CD8B1",5.09190932551785e-16,-0.751127865261917,0.052,0.266,1.70685892500684e-11,"NK","CD8B"
"RAB27B",5.25769331476765e-16,0.37704776991,0.107,0.019,1.76243137604326e-11,"NK","RAB27B"
"GPR1711",9.72148203046197e-16,-0.591125285318296,0.042,0.257,3.25873799143116e-11,"NK","GPR171"
"MCTP2",2.54909264881759e-15,0.497118211874386,0.175,0.054,8.54481346810146e-11,"NK","MCTP2"
"RACK1",3.03289032705014e-15,-0.263055032119945,0.935,0.971,1.01665516653048e-10,"NK","RACK1"
"MYL6",3.09461534396046e-15,0.290764521125698,0.896,0.844,1.03734600944899e-10,"NK","MYL6"
"TCF25",3.29788481560644e-15,0.574878771333909,0.524,0.383,1.10548396903944e-10,"NK","TCF25"
"S1PR5",3.95991927941021e-15,0.568320353513557,0.379,0.216,1.3274045416511e-10,"NK","S1PR5"
"CHST12",4.07838250373272e-15,0.548896467326873,0.46,0.302,1.36711459907625e-10,"NK","CHST12"
"CCL31",5.53673610699523e-15,0.86744860943345,0.21,0.076,1.85596931042587e-10,"NK","CCL3"
"LY6E",6.23564320795214e-15,0.456776078619784,0.618,0.497,2.09024995973764e-10,"NK","LY6E"
"CD44",6.24608941079454e-15,-0.500172786975186,0.159,0.427,2.09375163139244e-10,"NK","CD44"
"CLEC2D",6.82989572139214e-15,-0.462947598971974,0.262,0.561,2.28944934476786e-10,"NK","CLEC2D"
"HCST",7.15737176600046e-15,0.339835903524746,0.89,0.854,2.39922258968102e-10,"NK","HCST"
"SIT1",2.19594084398122e-14,-0.519156245687942,0.019,0.202,7.36101330310944e-10,"NK","SIT1"
"FCRL61",2.22576280535466e-14,0.508078370683169,0.291,0.133,7.46097949982937e-10,"NK","FCRL6"
"GPR65",2.34514541337314e-14,0.560314802015903,0.518,0.382,7.86116194016809e-10,"NK","GPR65"
"KLRG1",2.57202098158306e-14,-0.468174288588904,0.259,0.534,8.62167153236458e-10,"NK","KLRG1"
"TBX21",2.7150457586312e-14,0.51761158031536,0.243,0.102,9.10110488750764e-10,"NK","TBX21"
"UCP2",3.86127696965747e-14,0.464849286027003,0.618,0.501,1.29433865299888e-09,"NK","UCP2"
"ITGAM",3.86503231594428e-14,0.426038428090294,0.146,0.041,1.29559748262768e-09,"NK","ITGAM"
"XCL1",4.023517107549e-14,0.500495799794531,0.223,0.087,1.3487231696215e-09,"NK","XCL1"
"SNHG25",4.56522040245766e-14,-0.474399448874146,0.181,0.441,1.53030753110783e-09,"NK","SNHG25"
"RPL24",5.85111802981173e-14,-0.264877709478411,0.913,0.963,1.96135327477319e-09,"NK","RPL24"
"CCR71",7.42557519716366e-14,-0.676853641358716,0.029,0.21,2.48912706184123e-09,"NK","CCR7"
"DENND2D",8.59224489637303e-14,0.522102691559516,0.45,0.311,2.8802064117132e-09,"NK","DENND2D"
"PLEKHF1",8.59257852663658e-14,0.55489746654812,0.282,0.133,2.88031824791385e-09,"NK","PLEKHF1"
"PTGDS",1.97558137858179e-13,1.08187100878945,0.126,0.033,6.62234633914403e-09,"NK","PTGDS"
"LGALS11",2.19635723419877e-13,0.630883824826652,0.411,0.248,7.36240908475768e-09,"NK","LGALS1"
"MATK",3.05706649728428e-13,0.567196051353767,0.408,0.259,1.02475926055466e-08,"NK","MATK"
"C1orf21",3.41943905083022e-13,0.488492469716988,0.227,0.094,1.1462301642288e-08,"NK","C1orf21"
"TCF7",3.49095823200255e-13,-0.478564361998445,0.084,0.297,1.17020410894958e-08,"NK","TCF7"
"RGS10",3.68570664526354e-13,-0.503997524152014,0.061,0.258,1.23548572455879e-08,"NK","RGS10"
"GPR183",4.21080950231835e-13,-0.549753313282702,0.013,0.174,1.41150545327213e-08,"NK","GPR183"
"LYN",4.74892077863161e-13,0.401038735566242,0.123,0.032,1.5918857342051e-08,"NK","LYN"
"ARPC3",5.10609171791437e-13,0.383057438578222,0.676,0.604,1.71161300476208e-08,"NK","ARPC3"
"PTPN4",5.72180772924404e-13,0.500061987806242,0.434,0.296,1.91800716891989e-08,"NK","PTPN4"
"LSP1",5.86582370311592e-13,0.481947876735133,0.544,0.428,1.96628276352149e-08,"NK","LSP1"
"CAMK4",6.92025770417403e-13,-0.480012665925842,0.003,0.153,2.31973958501618e-08,"NK","CAMK4"
"BIN2",8.07501093070499e-13,0.441549280611349,0.586,0.468,2.70682441408162e-08,"NK","BIN2"
"AC092580.41",8.28198001850762e-13,-0.499024823286966,0.188,0.435,2.77620252200394e-08,"NK","AC092580.4"
"PTGDR",1.18411286511437e-12,0.536737459486335,0.233,0.102,3.96926473514987e-08,"NK","PTGDR"
"TXNIP",1.42078230920613e-12,0.319356808376333,0.909,0.933,4.76260437868986e-08,"NK","TXNIP"
"RCAN3",1.71436660391321e-12,-0.465331944064791,0.006,0.156,5.74672829297747e-08,"NK","RCAN3"
"PTPRE",1.86889138125838e-12,0.505670913063068,0.265,0.129,6.26471079911622e-08,"NK","PTPRE"
"ALOX5AP",1.8756926823568e-12,0.543670441057448,0.524,0.414,6.28750944052822e-08,"NK","ALOX5AP"
"NAP1L1",1.96792764750352e-12,-0.359825980030609,0.33,0.616,6.59669026719655e-08,"NK","NAP1L1"
"XCL2",3.45827548945669e-12,0.493227269293723,0.178,0.065,1.15924852682078e-07,"NK","XCL2"
"CD40LG1",3.60537601576936e-12,-0.494008278844065,0.023,0.182,1.20855809424605e-07,"NK","CD40LG"
"C6orf48",3.62188147859227e-12,-0.437413196112929,0.178,0.42,1.21409089043891e-07,"NK","C6orf48"
"DOK2",5.61951399860916e-12,0.502610548275078,0.401,0.262,1.88371728747378e-07,"NK","DOK2"
"OSBPL5",6.00489254256944e-12,0.312688212462945,0.104,0.025,2.0129000291947e-07,"NK","OSBPL5"
"LEPROTL1",7.84608708757058e-12,-0.401213064568831,0.146,0.377,2.63008685262453e-07,"NK","LEPROTL1"
"CMC11",1.06461391988564e-11,0.389124258564848,0.631,0.457,3.56869232084865e-07,"NK","CMC1"
"PRDX5",2.00319468919319e-11,0.476041670019193,0.398,0.27,6.71490891764448e-07,"NK","PRDX5"
"IDI1",2.18665940049962e-11,0.51042163560108,0.275,0.146,7.32990097641478e-07,"NK","IDI1"
"GLTSCR2",2.45071271641766e-11,-0.312664132023134,0.56,0.79,8.21503409670365e-07,"NK","GLTSCR2"
"ZFAS1",2.77663225888713e-11,-0.403623126261855,0.236,0.481,9.30754899501555e-07,"NK","ZFAS1"
"CD99",3.61162996442247e-11,0.345072174857787,0.615,0.521,1.21065448037406e-06,"NK","CD99"
"NDUFB7",3.85505360630884e-11,0.450071463623985,0.447,0.337,1.29225251937079e-06,"NK","NDUFB7"
"NDUFB2",3.92327036071226e-11,0.461595262287507,0.544,0.454,1.31511945761436e-06,"NK","NDUFB2"
"NACA",4.99781730022288e-11,-0.260872565905982,0.841,0.945,1.67531833720771e-06,"NK","NACA"
"PRELID1",5.04327096413808e-11,0.467437701622333,0.45,0.332,1.69055485988873e-06,"NK","PRELID1"
"SEPT7",5.62150605411931e-11,0.398500957553641,0.647,0.569,1.88438504440133e-06,"NK","SEPT7"
"RAB11FIP1",5.64679197788492e-11,0.403114303396433,0.172,0.067,1.8928611389068e-06,"NK","RAB11FIP1"
"TLE1",6.34860428747246e-11,0.333477543971272,0.107,0.029,2.12811564320364e-06,"NK","TLE1"
"PIP4K2A",6.576908314726e-11,0.410349035050396,0.511,0.401,2.2046454361793e-06,"NK","PIP4K2A"
"BPGM",6.89743124198673e-11,0.343676134776986,0.107,0.029,2.31208792662637e-06,"NK","BPGM"
"RARRES3",7.00789752270894e-11,0.402392771398221,0.634,0.579,2.34911732858726e-06,"NK","RARRES3"
"OSTF1",8.21169292804134e-11,0.490875551899699,0.424,0.301,2.75264158640874e-06,"NK","OSTF1"
"YPEL1",9.12542733506668e-11,0.373576795994236,0.136,0.045,3.0589344969877e-06,"NK","YPEL1"
"SELT",9.9414684646393e-11,0.381252917946587,0.466,0.342,3.33247964403174e-06,"NK","SELT"
"LEF11",1.15894834435485e-10,-0.443798607308735,0.013,0.146,3.88491074511188e-06,"NK","LEF1"
"NRROS",1.24596383879628e-10,0.361665434510898,0.123,0.039,4.176595384029e-06,"NK","NRROS"
"SNHG8",1.28570616310015e-10,-0.433621254098174,0.139,0.346,4.30981562932802e-06,"NK","SNHG8"
"TOMM7",1.29904133736109e-10,-0.261319567535528,0.777,0.926,4.35451646696811e-06,"NK","TOMM7"
"AQP3",1.38340665279466e-10,-0.4253004459765,0.023,0.163,4.637317440833e-06,"NK","AQP3"
"ACTG1",1.82943443677536e-10,0.339838597599091,0.9,0.906,6.13244717551469e-06,"NK","ACTG1"
"ACTR3",1.87376086570024e-10,0.423068187708215,0.524,0.426,6.28103379791378e-06,"NK","ACTR3"
"ARHGDIB",2.65359120666426e-10,0.255245593362857,0.845,0.825,8.89510308385927e-06,"NK","ARHGDIB"
"UBE2F",2.77380120054585e-10,0.482775372525799,0.207,0.097,9.29805900434973e-06,"NK","UBE2F"
"CD84",3.10225634460793e-10,-0.430051526971663,0.01,0.134,1.03990734927602e-05,"NK","CD84"
"RAC2",3.28229221063847e-10,0.404955498373001,0.66,0.614,1.10025717192812e-05,"NK","RAC2"
"MSN",3.38687847938189e-10,0.490557090722186,0.434,0.32,1.1353155350736e-05,"NK","MSN"
"RNF213",3.5851614911934e-10,0.406868757626778,0.566,0.495,1.20178198346294e-05,"NK","RNF213"
"C12orf75",3.60531727373975e-10,0.423633677336408,0.485,0.367,1.2085384033303e-05,"NK","C12orf75"
"PPP1CA",3.67623153964577e-10,0.3962472235015,0.563,0.471,1.23230957440466e-05,"NK","PPP1CA"
"DDX5",5.93140405252139e-10,0.283553609925448,0.867,0.848,1.9882659524457e-05,"NK","DDX5"
"DHRS7",6.21404550452352e-10,0.452373402166565,0.44,0.33,2.08301019357133e-05,"NK","DHRS7"
"TMEM123",6.94877182977914e-10,-0.373041217404396,0.136,0.337,2.32929780506027e-05,"NK","TMEM123"
"DRAP1",8.08059028349103e-10,0.420368138753848,0.437,0.325,2.70869466892903e-05,"NK","DRAP1"
"CALM1",8.37161359726566e-10,0.28620756474521,0.825,0.811,2.80624859393942e-05,"NK","CALM1"
"NEAT1",9.11855126870759e-10,0.418096943560247,0.663,0.621,3.05662957078347e-05,"NK","NEAT1"
"CD2",9.51511695275373e-10,-0.358465813802608,0.311,0.552,3.18956235373258e-05,"NK","CD2"
"BCL11B",1.20179993532656e-09,-0.382864806611501,0.091,0.262,4.02855356320817e-05,"NK","BCL11B"
"RUNX3",1.38561329462922e-09,0.454571997706071,0.327,0.207,4.6447143249266e-05,"NK","RUNX3"
"LCP1",1.63257452186078e-09,0.380604971512247,0.528,0.43,5.47255305472954e-05,"NK","LCP1"
"PSMA7",1.87029108774945e-09,0.318358128710353,0.657,0.586,6.26940275524494e-05,"NK","PSMA7"
"AGTRAP",2.30368193663143e-09,0.447440857366252,0.194,0.091,7.72217221978223e-05,"NK","AGTRAP"
"SETD3",2.33959978027613e-09,0.367075336307221,0.126,0.045,7.84257242346361e-05,"NK","SETD3"
"CDC42",2.52180837039638e-09,0.342196271866296,0.699,0.673,8.4533538384057e-05,"NK","CDC42"
"LINC01550",2.81271990806408e-09,-0.352202568779331,0.003,0.111,9.42851840382161e-05,"NK","LINC01550"
"FLT3LG",2.82427567560813e-09,-0.387769825580511,0.084,0.248,9.46725449220603e-05,"NK","FLT3LG"
"GSAP",2.86798611127117e-09,0.413215786105887,0.133,0.049,9.61377624359208e-05,"NK","GSAP"
"TC2N1",3.17512273326732e-09,-0.385004131158671,0.087,0.252,0.000106433289141854,"NK","TC2N"
"CD164",3.35843955792527e-09,0.39742480563324,0.492,0.406,0.000112578252421213,"NK","CD164"
"TFDP2",3.91840086432022e-09,0.391439221704808,0.181,0.082,0.000131348715372878,"NK","TFDP2"
"PRKCH1",3.98591862550406e-09,0.475039961275192,0.372,0.26,0.000133611978245522,"NK","PRKCH"
"GLIPR2",4.24613541555844e-09,0.4424706187222,0.259,0.148,0.000142334705264935,"NK","GLIPR2"
"CCDC28B",4.65506053411815e-09,0.369902971606078,0.142,0.056,0.000156042284164174,"NK","CCDC28B"
"NOSIP",4.89915529364247e-09,-0.391225901347173,0.246,0.458,0.000164224584598189,"NK","NOSIP"
"TPI1",5.92863674376059e-09,0.421890276798422,0.482,0.4,0.000198733832287599,"NK","TPI1"
"MYO1G",6.34191467880967e-09,0.384127895570705,0.392,0.277,0.000212587321948379,"NK","MYO1G"
"PPP1R18",6.7414384111021e-09,0.430361037721659,0.414,0.312,0.000225979756978554,"NK","PPP1R18"
"PPA1",8.37620812843652e-09,-0.336209315194802,0.091,0.252,0.000280778872673321,"NK","PPA1"
"EIF4B",9.77104684096688e-09,-0.329202748670248,0.227,0.444,0.000327535261156051,"NK","EIF4B"
"CAP1",1.31680274494859e-08,0.347011561191481,0.544,0.471,0.000441405448134216,"NK","CAP1"
"ARPC5",1.3972938040692e-08,0.339291134552488,0.566,0.496,0.000468386856062037,"NK","ARPC5"
"LINC00649",1.40254769507116e-08,-0.337893567118347,0.016,0.128,0.000470148012864805,"NK","LINC00649"
"TOB1",1.82333370079731e-08,-0.334946369431584,0.042,0.172,0.000611199689844266,"NK","TOB1"
"RFTN1",2.08804682794225e-08,0.390003849604441,0.142,0.059,0.000699934177194521,"NK","RFTN1"
"BST2",2.46243614116551e-08,0.425630043649066,0.366,0.265,0.000825433218880092,"NK","BST2"
"BTF3",2.58196571777419e-08,-0.253608833935398,0.741,0.866,0.000865500728255086,"NK","BTF3"
"HINT1",2.76731103046596e-08,-0.277476551642326,0.576,0.791,0.000927630330522493,"NK","HINT1"
"CD300A",2.93199918483777e-08,0.407945989539021,0.194,0.095,0.000982835446749469,"NK","CD300A"
"PDIA3",3.09871007666152e-08,0.378238915875825,0.485,0.4,0.00103871860479771,"NK","PDIA3"
"FASLG",3.5044341381048e-08,0.331998372661677,0.133,0.053,0.00117472136743411,"NK","FASLG"
"LDLRAP1",3.57768642129965e-08,-0.325823172027622,0.029,0.145,0.00119927626528386,"NK","LDLRAP1"
"MAP3K8",4.05319732266993e-08,0.322200389611397,0.104,0.035,0.00135867227453219,"NK","MAP3K8"
"MAPK1",4.38335883600386e-08,0.447573233949266,0.256,0.151,0.00146934571541685,"NK","MAPK1"
"THEMIS",4.60002170930432e-08,-0.317831652990128,0.013,0.115,0.0015419732771759,"NK","THEMIS"
"RAC1",4.6867619671222e-08,0.399101218260805,0.385,0.288,0.00157104947899903,"NK","RAC1"
"GK5",5.07404385361632e-08,0.348489155715118,0.149,0.064,0.00170087024017073,"NK","GK5"
"ATF7IP2",5.08702452496743e-08,-0.345258368356059,0.042,0.165,0.00170522149101433,"NK","ATF7IP2"
"IFI16",5.63229445865927e-08,0.394445075454243,0.392,0.291,0.00188800142548717,"NK","IFI16"
"MCUB",6.37783684409747e-08,-0.352084327967282,0.055,0.182,0.00213791468850991,"NK","MCUB"
"CEP78",6.77662245682208e-08,0.399577311900516,0.191,0.097,0.00227159161375133,"NK","CEP78"
"SH3BP5",7.43571571256378e-08,0.452125310557584,0.239,0.14,0.0024925262640085,"NK","SH3BP5"
"EVA1B",1.06125181660766e-07,-0.345501493522618,0.039,0.155,0.00355742221445054,"NK","EVA1B"
"RNF125",1.06418281529586e-07,0.416353600988373,0.252,0.151,0.00356724721515327,"NK","RNF125"
"AKAP13",1.11451477665214e-07,0.374079593565207,0.424,0.334,0.00373596498281563,"NK","AKAP13"
"CIRBP",1.14524100169959e-07,0.298928974949873,0.66,0.636,0.00383896236179718,"NK","CIRBP"
"S100A10",1.16320376537143e-07,-0.324624840261907,0.337,0.551,0.00389917534190156,"NK","S100A10"
"ZNF600",1.26646036386667e-07,0.352797092611239,0.142,0.062,0.00424530178571747,"NK","ZNF600"
"BIRC3",1.40749900256797e-07,-0.312705723382572,0.023,0.126,0.0047180774065081,"NK","BIRC3"
"CAST",1.48941468133523e-07,0.397541109411743,0.395,0.299,0.00499266695330381,"NK","CAST"
"PSMB10",1.74766308152687e-07,0.424907018274001,0.359,0.267,0.00585834141558623,"NK","PSMB10"
"TMEM2",1.94265346702118e-07,0.332162882263673,0.12,0.047,0.00651196868680171,"NK","TMEM2"
"LAIR1",2.08917612124774e-07,0.388105836151143,0.214,0.119,0.00700312727603456,"NK","LAIR1"
"ADD1",2.30699867815292e-07,0.394633522745112,0.21,0.118,0.0077332902690364,"NK","ADD1"
"DIP2A",2.3661615663389e-07,0.372248506878501,0.223,0.128,0.00793161018652462,"NK","DIP2A"
"CD53",2.41561655383144e-07,0.375113552931024,0.485,0.423,0.00809738825009837,"NK","CD53"
"EEF1G",2.44471755609483e-07,-0.290590030430329,0.036,0.146,0.00819493771978548,"NK","EEF1G"
"TMIGD2",2.45473476450795e-07,0.460661088905054,0.178,0.092,0.00822851640410708,"NK","TMIGD2"
"JAML",2.58209812839531e-07,-0.307731087046781,0.055,0.177,0.0086554511361939,"NK","JAML"
"SLAMF7",2.87085402441729e-07,0.338721099772597,0.165,0.08,0.00962338977524918,"NK","SLAMF7"
"CXXC5",2.97496012991115e-07,0.36218237275474,0.168,0.083,0.00997236385147517,"NK","CXXC5"
"RHOA",3.3474233229353e-07,0.320024638042689,0.511,0.456,0.0112208977208114,"NK","RHOA"
"PEBP1",3.36609300791703e-07,-0.27598301110349,0.172,0.351,0.0112834803718387,"NK","PEBP1"
"RPS4Y1",3.5879692514867e-07,-0.459280233116994,0.223,0.372,0.0120272317279086,"NK","RPS4Y1"
"COTL1",3.90233048919192e-07,-0.283044201884645,0.055,0.175,0.0130810020328202,"NK","COTL1"
"MTSS1",4.16111045658183e-07,0.29278304645255,0.104,0.039,0.013948458361508,"NK","MTSS1"
"CYCS",4.27752497865693e-07,0.43173433797802,0.353,0.26,0.0143386914809559,"NK","CYCS"
"CAPZB",4.925004127508e-07,0.349259563204536,0.505,0.455,0.0165091063358196,"NK","CAPZB"
"ADAM8",5.55658657600753e-07,0.333349158066355,0.136,0.06,0.0186262338614349,"NK","ADAM8"
"CYB5B",7.03416814600587e-07,0.384679394444866,0.233,0.141,0.0235792350422263,"NK","CYB5B"
"EIF3H",7.5338127508649e-07,-0.27828092623787,0.304,0.515,0.0252540937221742,"NK","EIF3H"
"PIK3IP1",7.85815745641134e-07,-0.261668969251629,0.133,0.291,0.0263413296096365,"NK","PIK3IP1"
"SERINC5",8.23162365149359e-07,-0.270254722136672,0.019,0.111,0.0275932256421717,"NK","SERINC5"
"STK17A",8.87563341080813e-07,0.333397307605183,0.434,0.36,0.0297520107563699,"NK","STK17A"
"CHCHD10",9.42290159224058e-07,-0.293000446520294,0.045,0.154,0.0315865084273497,"NK","CHCHD10"
"GNG2",9.55620126312666e-07,0.373768878922863,0.324,0.233,0.0320333422541269,"NK","GNG2"
"TCEB2",9.96983041657957e-07,0.29022743423757,0.586,0.54,0.0334198685394164,"NK","TCEB2"
"G6PD",1.01701379866428e-06,0.338005420940396,0.188,0.103,0.0340913195450254,"NK","G6PD"
"C1orf561",1.02675990439275e-06,0.47857422019476,0.528,0.457,0.0344180187551493,"NK","C1orf56"
"EIF3L",1.04683322297667e-06,-0.277260483946022,0.333,0.54,0.0350908964674009,"NK","EIF3L"
"CALR",1.08228978661326e-06,0.390586997864359,0.466,0.393,0.0362794359370631,"NK","CALR"
"TBC1D10C",1.14282700590461e-06,0.353897195015662,0.463,0.4,0.0383087040649283,"NK","TBC1D10C"
"STOM",1.16986280765433e-06,0.389781144747271,0.269,0.177,0.0392149711753807,"NK","STOM"
"F2R",1.20030374361051e-06,0.291704016425292,0.123,0.053,0.0402353817895679,"NK","F2R"
"ZNF90",1.20211289617581e-06,-0.260650111585927,0.207,0.39,0.0402960263927095,"NK","ZNF90"
"EVL",1.2656066573078e-06,0.294582147200827,0.66,0.639,0.0424244007596149,"NK","EVL"
"PHACTR21",1.2883277611122e-06,-0.288751695041714,0.058,0.173,0.043186034880242,"NK","PHACTR2"
"AOAH",1.33298379885549e-06,0.346945368651667,0.133,0.06,0.0446829499214348,"NK","AOAH"
"ARPC5L",1.37031320883826e-06,0.372299081576357,0.32,0.229,0.0459342690734673,"NK","ARPC5L"
"LIMD2",1.4303523754314e-06,0.340674172116172,0.586,0.55,0.047946841976836,"NK","LIMD2"
"IL18RAP",1.57764173160689e-06,0.30251663125664,0.129,0.058,0.0528841284851945,"NK","IL18RAP"
"NCF1",1.64285961969097e-06,-0.258297841144561,0.016,0.101,0.0550702973116612,"NK","NCF1"
"ATP5I",1.78840153859121e-06,0.307031112303645,0.57,0.525,0.059949007975116,"NK","ATP5I"
"ITGAL",1.86115714679381e-06,0.324900254097346,0.298,0.207,0.0623878487176754,"NK","ITGAL"
"TGFB1",1.92786793290692e-06,0.394799376915291,0.33,0.242,0.0646240609789729,"NK","TGFB1"
"RAP1GAP2",1.93196949546246e-06,0.313777018434613,0.12,0.053,0.0647615494573971,"NK","RAP1GAP2"
"SLC4A101",2.00050188347195e-06,-0.312558726293496,0.029,0.122,0.0670588236358634,"NK","SLC4A10"
"CD244",2.29154962994899e-06,0.354700715694502,0.129,0.06,0.0768150351455202,"NK","CD244"
"SELL1",2.36690158678638e-06,-0.269112447280339,0.12,0.258,0.0793409080906664,"NK","SELL"
"TPM4",3.43270075700034e-06,0.414168093426048,0.188,0.109,0.115067562075408,"NK","TPM4"
"FEZ1",3.69479143824283e-06,0.321104940925764,0.12,0.054,0.123853103801338,"NK","FEZ1"
"SAMD3",3.74169860205077e-06,0.368583229968996,0.356,0.275,0.125425478839344,"NK","SAMD3"
"CXCR6",3.9713534488168e-06,-0.271339544552099,0.019,0.102,0.133123738957788,"NK","CXCR6"
"UQCR11",4.0381829047668e-06,0.29266447165922,0.696,0.692,0.135363929150688,"NK","UQCR11"
"RBM39",4.11795056629116e-06,0.344736387375506,0.524,0.504,0.138037820932646,"NK","RBM39"
"CARD16",4.13871385255222e-06,0.352816162935539,0.362,0.284,0.138733827051403,"NK","CARD16"
"PRMT2",4.19627837951169e-06,0.337122715307663,0.508,0.47,0.140663447559611,"NK","PRMT2"
"CHCHD2",4.44581207603248e-06,0.255876018256646,0.638,0.609,0.149028066600685,"NK","CHCHD2"
"PREX1",5.5826176594324e-06,0.352522044536283,0.165,0.089,0.187134926561833,"NK","PREX1"
"TES",5.72715208110619e-06,0.37073944834813,0.304,0.225,0.191979864910761,"NK","TES"
"PLP2",5.73610486530812e-06,-0.255314936072869,0.068,0.179,0.192279971189993,"NK","PLP2"
"ZNF207",6.7814591907495e-06,0.366839043252319,0.346,0.272,0.227321293533114,"NK","ZNF207"
"VPS26A",7.30807515176523e-06,0.300660678434372,0.162,0.086,0.244973987162322,"NK","VPS26A"
"LST1",7.71790733078664e-06,-0.289488979800971,0.032,0.12,0.258711971635299,"NK","LST1"
"TSG101",7.98892656563089e-06,0.319192227420832,0.155,0.083,0.267796807406513,"NK","TSG101"
"CFLAR",8.14018934635757e-06,0.315048243225986,0.382,0.307,0.272867287079252,"NK","CFLAR"
"KLHDC3",8.28852635298212e-06,0.355479721897016,0.191,0.113,0.277839691878314,"NK","KLHDC3"
"CSNK2B",8.58995946631072e-06,0.361655075064362,0.288,0.213,0.287944031270202,"NK","CSNK2B"
"FHL3",9.34995549565388e-06,0.288773423202292,0.107,0.047,0.313419858169814,"NK","FHL3"
"CDC42SE11",9.40871159709586e-06,0.448736498111635,0.515,0.461,0.31538942144625,"NK","CDC42SE1"
"RSL1D1",1.03496835243597e-05,-0.281859487292939,0.162,0.306,0.346931741420061,"NK","RSL1D1"
"TIPIN",1.08843075578764e-05,-0.274685475574734,0.087,0.201,0.364852873647575,"NK","TIPIN"
"DYNLL11",1.22115519924778e-05,0.35755598869031,0.353,0.282,0.409343434339848,"NK","DYNLL1"
"ZAP70",1.28571136744818e-05,0.379656206292036,0.317,0.248,0.430983307482303,"NK","ZAP70"
"TAOK3",1.29562402342268e-05,0.349310773820514,0.35,0.282,0.434306128891516,"NK","TAOK3"
"PRR13",1.36582488896655e-05,0.290062851832105,0.482,0.432,0.457838161030476,"NK","PRR13"
"SNAP29",1.38273068538611e-05,0.283095843808715,0.117,0.055,0.463505153048276,"NK","SNAP29"
"CEBPD1",1.4799861320606e-05,0.379163377645096,0.239,0.155,0.496106151328033,"NK","CEBPD"
"C5orf56",1.50177637044311e-05,0.359538637898905,0.252,0.172,0.503410457136236,"NK","C5orf56"
"MIEN1",1.5667676213312e-05,0.346788138764017,0.236,0.16,0.525196174346433,"NK","MIEN1"
