"p_val","avg_logFC","pct.1","pct.2","p_val_adj","type","gene"
"CX3CR1",5.22889797006986e-05,-0.377674643460473,0.095,0.182,1,"iNKT","CX3CR1"
"LITAF",6.23958090752852e-05,-0.284457139168376,0.412,0.509,1,"iNKT","LITAF"
"PLEK",0.000117892584738799,-0.352905904038292,0.218,0.307,1,"iNKT","PLEK"
"PLAC8",0.000142586554161896,-0.3082390661929,0.44,0.528,1,"iNKT","PLAC8"
"CDC42SE1",0.000145453468097453,-0.35719459482622,0.388,0.485,1,"iNKT","CDC42SE1"
"FGR",0.000165070508329846,-0.286459444363027,0.077,0.155,1,"iNKT","FGR"
"CD7",0.000184877982832785,-0.261337456877102,0.588,0.671,1,"iNKT","CD7"
"CTSW",0.000191829845267547,-0.274954284268027,0.698,0.735,1,"iNKT","CTSW"
"PATL2",0.000360171675919552,-0.256465426951932,0.043,0.106,1,"iNKT","PATL2"
"CALM3",0.000490055698579468,-0.259352820310598,0.218,0.304,1,"iNKT","CALM3"
"DYNLL1",0.000745074664915905,-0.266067880015659,0.228,0.305,1,"iNKT","DYNLL1"
"TYROBP",0.00117002959717634,-0.476637853631923,0.375,0.425,1,"iNKT","TYROBP"
"FOXP1",0.00127875226627788,-0.267752163845901,0.237,0.321,1,"iNKT","FOXP1"
"PRKCH",0.0014252390559665,-0.262548342476189,0.209,0.29,1,"iNKT","PRKCH"
"PRF1",0.00275169568166265,-0.349347545161111,0.588,0.61,1,"iNKT","PRF1"
"TRGC1",0.00564112244394145,-0.403660242666738,0.243,0.303,1,"iNKT","TRGC1"
"SRGN",0.00735067389466893,-0.282592837472713,0.677,0.674,1,"iNKT","SRGN"
"C1orf56",0.0174600902550169,-0.256549621773022,0.434,0.474,1,"iNKT","C1orf56"
"CD160",0.0198102475725991,-0.261001603560175,0.105,0.148,1,"iNKT","CD160"
"FCER1G1",2.1297629695639e-223,2.1318088162343,0.77,0.066,7.13917845027514e-219,"NK","FCER1G"
"KLRF11",1.13699641973586e-152,1.66773873127358,0.864,0.221,3.81132569859657e-148,"NK","KLRF1"
"GZMB1",1.39434226654989e-125,1.65435136216235,0.916,0.381,4.67397471170188e-121,"NK","GZMB"
"TYROBP1",1.66423041509588e-123,1.46608436387916,0.903,0.331,5.57866677444292e-119,"NK","TYROBP"
"SPON21",2.77843595040693e-116,1.66958267453764,0.735,0.199,9.31359514935907e-112,"NK","SPON2"
"GNLY1",2.00697352219401e-111,1.60961473275809,0.981,0.694,6.72757594374655e-107,"NK","GNLY"
"FGFBP21",3.21860038858999e-110,1.44777776210395,0.835,0.273,1.07890703625925e-105,"NK","FGFBP2"
"RPS27",6.70780211428367e-109,-0.500121097959696,1,1,2.24852234672903e-104,"NK","RPS27"
"NKG71",1.09582710869892e-107,0.959792284426633,0.997,0.913,3.67332205106965e-103,"NK","NKG7"
"RPS29",1.62564048247005e-106,-0.578961245141791,1,1,5.44930946128785e-102,"NK","RPS29"
"KLRD11",4.64335989347039e-104,1.20258908453791,0.964,0.497,1.55650066989021e-99,"NK","KLRD1"
"RPL39",1.15393684622583e-101,-0.627043207979716,1,1,3.86811170223361e-97,"NK","RPL39"
"IGFBP7",1.10735193748151e-99,1.1281132517025,0.288,0.006,3.71195442963178e-95,"NK","IGFBP7"
"RPS12",2.83388127719109e-98,-0.60364698114021,0.997,1,9.49945342927226e-94,"NK","RPS12"
"CLIC31",6.96673853923205e-96,1.46449390350101,0.663,0.181,2.33532042573598e-91,"NK","CLIC3"
"FCGR3A1",1.46302671640437e-94,1.30192379199008,0.663,0.166,4.90421185605909e-90,"NK","FCGR3A"
"RPS18",6.19093292035858e-94,-0.616837829939839,1,1,2.0752626242334e-89,"NK","RPS18"
"PRF11",1.96867324234096e-92,1.14835433537065,0.922,0.55,6.59918957565112e-88,"NK","PRF1"
"RPL34",9.24093661225765e-92,-0.63467448303874,1,1,3.09765436179489e-87,"NK","RPL34"
"RPL13",2.88263432212402e-90,-0.562122434276681,0.997,1,9.66287851119193e-86,"NK","RPL13"
"RPL32",1.81854036303756e-86,-0.574758118646048,0.994,1,6.09592915093819e-82,"NK","RPL32"
"RPS2",2.4165351219161e-86,-0.600356469948518,0.984,0.999,8.10046738217495e-82,"NK","RPS2"
"EEF1A1",3.82695022447703e-83,-0.470832612394165,1,1,1.28283198474695e-78,"NK","EEF1A1"
"RPL13A",5.71890293748571e-83,-0.465755268308317,0.997,1,1.91703345367458e-78,"NK","RPL13A"
"RPS6",2.98720113862333e-82,-0.557632369221235,0.99,0.999,1.00133969367792e-77,"NK","RPS6"
"RPL21",9.13945305604255e-80,-0.478297181376487,1,1,3.06363605891602e-75,"NK","RPL21"
"RPS19",1.29260896317138e-78,-0.464751439175979,1,1,4.33295450544678e-74,"NK","RPS19"
"CD3D",2.95965016629079e-78,-1.27866660165616,0.256,0.841,9.92104332242337e-74,"NK","CD3D"
"RPS8",1.15111994188271e-77,-0.625303644860439,0.997,1,3.85866915718504e-73,"NK","RPS8"
"RPL18A",2.28161869733087e-76,-0.533991689373893,0.984,0.999,7.64821403532283e-72,"NK","RPL18A"
"SRGN1",1.46917762722669e-75,0.956824454644261,0.922,0.631,4.92483032422659e-71,"NK","SRGN"
"RPL3",3.37653832171169e-74,-0.433555578866718,1,0.999,1.13184941082097e-69,"NK","RPL3"
"RPS15A",1.56970308699251e-73,-0.454917372422916,0.997,1,5.26180171790761e-69,"NK","RPS15A"
"MYOM2",1.59716439684761e-68,1.04369353311835,0.285,0.025,5.35385477467288e-64,"NK","MYOM2"
"IL7R1",3.58894750620464e-68,-1.63310559176293,0.12,0.679,1.20305109355486e-63,"NK","IL7R"
"RPL36",8.32327685226176e-68,-0.54525218364343,0.977,0.997,2.79004563364667e-63,"NK","RPL36"
"RPS25",1.45688853745229e-67,-0.542071462022461,0.984,0.998,4.88363606639381e-63,"NK","RPS25"
"RPLP2",1.6545523797062e-67,-0.424529675555182,1,0.999,5.54622503201317e-63,"NK","RPLP2"
"RPS27A",2.2559088109495e-67,-0.417327173454818,1,1,7.5620319251838e-63,"NK","RPS27A"
"B2M",4.23210626540259e-67,0.307642124951957,1,1,1.4186443412256e-62,"NK","B2M"
"RPL23A",1.08131908158212e-66,-0.447618355116375,0.997,1,3.62468969337142e-62,"NK","RPL23A"
"RPS14",2.67118415267995e-66,-0.416202214044089,0.99,1,8.95407639819847e-62,"NK","RPS14"
"RPL36A",4.33268979444065e-66,-0.70946334397695,0.848,0.979,1.45236094599445e-61,"NK","RPL36A"
"AKR1C3",4.87673476900356e-66,1.07710054351586,0.34,0.046,1.63473026191768e-61,"NK","AKR1C3"
"TRAC1",1.09281404115788e-65,-1.31702814039149,0.188,0.747,3.66322194736533e-61,"NK","TRAC"
"RPS3",1.12406179753356e-64,-0.403641969477089,1,0.999,3.76796755151226e-60,"NK","RPS3"
"PLAC81",4.1978781877202e-64,1.01062561961365,0.793,0.464,1.40717074730569e-59,"NK","PLAC8"
"CST7",1.10676263805141e-63,0.833236876964313,0.942,0.691,3.70997903901211e-59,"NK","CST7"
"RPL10",4.82885885436545e-63,-0.382291840623022,1,1,1.61868177657184e-58,"NK","RPL10"
"RPL11",9.38530639504038e-63,-0.472842148444624,1,0.999,3.14604855668148e-58,"NK","RPL11"
"RPL35A",4.9067934915928e-62,-0.500592635575956,0.977,0.999,1.64480624631682e-57,"NK","RPL35A"
"RPL19",1.83988154748878e-60,-0.423506420341571,0.997,1,6.16746693533714e-56,"NK","RPL19"
"RPL28",1.51986616587624e-59,-0.40364063830009,1,0.999,5.09474337463374e-55,"NK","RPL28"
"CD52",1.56292773144899e-59,-0.781968275928549,0.686,0.968,5.23909004859015e-55,"NK","CD52"
"RPL41",5.38207131290298e-59,-0.331159690699308,1,1,1.80412412479821e-54,"NK","RPL41"
"RPS28",6.67391301576772e-59,-0.420923808642177,0.997,1,2.2371623820155e-54,"NK","RPS28"
